sort_order,id,name,aliases,classification_group,faction,formal_class_code,technical_status,object_type,description,notes,source_url
28,colony-world,Colony World,Mundus Novum,Imperial — settlement,Imperium,,Recognised classification,Planet or moon,A recently established or still-developing Imperial settlement world.,,https://wh40k.lexicanum.com/wiki/Colony_World
29,fortress-world,Fortress World,,Imperial — strategic,Imperium,,Recognised classification,Planet or moon,"A planet transformed into a heavily defended military bastion guarding a vital route, border or objective.",,https://wh40k.lexicanum.com/wiki/Class_(world)
30,frontier-world,Frontier World,,Imperial — settlement,Imperium,,Recognised classification,Planet or moon,A sparsely developed Imperial world at the edge of controlled or well-charted space.,,https://wh40k.lexicanum.com/wiki/Class_(world)
31,garden-world,Garden World,,Imperial — environment/luxury,Imperium,,Recognised classification,Planet or moon,"A pleasant, lightly industrialised world valued for natural beauty, agriculture or elite habitation.",Often overlaps with Paradise World; terminology varies by source.,https://wh40k.lexicanum.com/wiki/Garden_World
32,garrison-world,Garrison World,,Imperial — strategic,Imperium,,Recognised classification,Planet or moon,"A world maintained chiefly as a permanent military base, troop depot or defensive occupation point.",,https://wh40k.lexicanum.com/wiki/Garrison_World
33,hub-fortress-world,Hub-Fortress World,Hub-Fortress,Imperial — strategic,Imperium,,Recognised classification,Planet or moon,"A major fortified command and logistics hub linking multiple war zones, routes or subordinate strongholds.",,https://wh40k.lexicanum.com/wiki/Hub-Fortress_World
34,industrial-world,Industrial World,,Imperial — specialised economy,Imperium,,Recognised classification,Planet or moon,A heavily industrialised world focused on manufacturing but not necessarily governed by the Adeptus Mechanicus.,,https://wh40k.lexicanum.com/wiki/Class_(world)
35,knight-world,Knight World,,Imperial — Knight Houses,Imperium / Questoris Familia,,Recognised classification,Planet or moon,A usually feudal world ruled by noble houses that maintain and pilot Imperial Knights.,,https://wh40k.lexicanum.com/wiki/Class_(world)
36,labyrinth-world,Labyrinth World,,Imperial — exotic,Imperium,,Recognised classification,Planet or moon,"A world dominated by immense mazes of ruins, tunnels, urban structures or natural passages.",,https://wh40k.lexicanum.com/wiki/Class_(world)
37,linchpin-planet,Linchpin Planet,,Imperial — strategic,Imperium,,Recognised classification,Planet or moon,"A strategically indispensable world whose loss could destabilise an entire region, campaign or defensive network.",,https://wh40k.lexicanum.com/wiki/Linchpin_Planet
38,lumber-world,Lumber World,,Imperial — specialised economy,Imperium,,Recognised classification,Planet or moon,A world whose primary tithe or export is timber and related biological materials.,,https://wh40k.lexicanum.com/wiki/Lumber_World
39,menagerie-world,Menagerie World,,Imperial — exotic,Imperium,,Recognised classification,Planet or moon,"A world used as a planetary-scale preserve, zoo or containment site for rare and dangerous creatures.",,https://wh40k.lexicanum.com/wiki/Menagerie_World
40,merchant-world,Merchant World,,Imperial — commerce,Imperium,,Recognised classification,Planet or moon,"A major commercial centre dominated by trade houses, markets, finance and interstellar commerce.",,https://wh40k.lexicanum.com/wiki/Merchant_World
41,mining-world,Mining World,,Imperial — specialised economy,Imperium,,Recognised classification,Planet or moon,"A world primarily exploited for ores, minerals, promethium or other subterranean resources.",,https://wh40k.lexicanum.com/wiki/Class_(world)
42,munition-world,Munition World,Munitions World,Imperial — military industry,Imperium,,Recognised classification,Planet or moon,"A world dedicated to producing ammunition, explosives and other expendable war materiel.",,https://wh40k.lexicanum.com/wiki/Munition_World
43,paradise-world,Paradise World,Pleasure World; Resort World,Imperial — environment/luxury,Imperium,,Recognised classification,Planet or moon,"An unusually safe, beautiful and comfortable world often reserved for elites, recreation or prestigious settlement.",,https://wh40k.lexicanum.com/wiki/Class_(world)
44,penal-world,Penal World,,Imperial — judicial,Imperium,,Recognised classification,Planet or moon,"A prison world used for incarceration, forced labour, punishment and sometimes the raising of penal military units.",,https://wh40k.lexicanum.com/wiki/Class_(world)
45,penitent-world,Penitent World,,Imperial — Ecclesiarchy,Imperium / Adeptus Ministorum,,Recognised classification,Planet or moon,A deliberately austere or dangerous world where inhabitants live in imposed or voluntary religious penance.,,https://wh40k.lexicanum.com/wiki/Penitent_World
46,port-world,Port World,,Imperial — commerce/logistics,Imperium,,Recognised classification,Planet or moon,"A world whose economy and strategic value centre on voidship traffic, docking, cargo handling and transit.",,https://wh40k.lexicanum.com/wiki/Port_World
47,quarantined-world,Quarantined World,,Imperial — restricted,Imperium,,Recognised classification,Planet or moon,"A world isolated by Imperial decree because of disease, mutation, xenos presence, corruption or another severe hazard.",,https://wh40k.lexicanum.com/wiki/Class_(world)
48,quarry-world,Quarry World,,Imperial — specialised economy,Imperium,,Recognised classification,Planet or moon,"A world stripped for stone, aggregate and surface-accessible construction materials.",,https://wh40k.lexicanum.com/wiki/Quarry_World
49,ratling-world,Ratling World,,Imperial — abhuman,Imperium,,Recognised classification,Planet or moon,A world predominantly inhabited by Ratlings or associated with Ratling abhuman populations.,,https://wh40k.lexicanum.com/wiki/Ratling_World
50,refugee-world,Refugee World,,Imperial — humanitarian/settlement,Imperium,,Recognised classification,Planet or moon,"A world used to receive and house populations displaced by war, invasion or planetary disaster.",,https://wh40k.lexicanum.com/wiki/Refugee_World
51,relic-world,Relic World,,Imperial — religious/historic,Imperium,,Recognised classification,Planet or moon,"A world valued for sacred, historical or technological relics and the sites associated with them.",,https://wh40k.lexicanum.com/wiki/Relic_World
52,repository-world,Repository World,,Imperial — storage,Imperium,,Recognised classification,Planet or moon,"A world serving as a secure storehouse for records, relics, supplies, specimens or strategic reserves.",,https://wh40k.lexicanum.com/wiki/Repository_World
53,salvage-world,Salvage World,,Imperial — specialised economy,Imperium,,Recognised classification,Planet or moon,"A world whose economy revolves around recovering useful material and technology from ruins, wrecks or battlefields.",,https://wh40k.lexicanum.com/wiki/Salvage_World
54,scribe-world,Scribe World,,Imperial — institutional,Adeptus Administratum,,Recognised classification,Planet or moon,"A bureaucratic world populated by scribes and devoted to copying, processing or preserving Imperial records.",,https://wh40k.lexicanum.com/wiki/Scribe_World
55,scriptorum-world,Scriptorum World,,Imperial — institutional,Imperium,,Recognised classification,Planet or moon,"A world organised around vast scriptoria that copy, illuminate, catalogue or reproduce texts and records.",,https://wh40k.lexicanum.com/wiki/Scriptorum_World
56,sector-capital-world,Sector Capital World,,Imperial — government,Imperium,,Recognised classification,Planet or moon,The principal administrative and political capital of an Imperial sector.,,https://wh40k.lexicanum.com/wiki/Sector_Capital_World
57,sentinel-world,Sentinel World,Bastion World,Imperial — strategic,Imperium,,Recognised classification,Planet or moon,A watch-world or bastion positioned to detect and resist threats approaching a strategically important region.,,https://wh40k.lexicanum.com/wiki/Class_(world)
58,sepulchre-world,Sepulchre World,,Imperial — Ecclesiarchy,Adeptus Ministorum,,Recognised classification,Planet or moon,"A world dominated by vast tomb complexes, sacred memorials and funerary institutions.",,https://wh40k.lexicanum.com/wiki/Sepulchre_World
59,shadow-world,Shadow World,,Imperial — exotic/restricted,Imperium,,Recognised classification,Planet or moon,"An obscurely classified world associated with secrecy, concealment or exceptional strategic sensitivity.",Usage is source-specific rather than a common Administratum standard.,https://wh40k.lexicanum.com/wiki/Class_(world)
60,shrine-world,Shrine World,,Imperial — Ecclesiarchy,Adeptus Ministorum,,Recognised classification,Planet or moon,"A major pilgrimage world centred on a saint, miracle, holy relic or sacred event.",,https://wh40k.lexicanum.com/wiki/Class_(world)
61,spoil-world,Spoil World,,Imperial — waste/salvage,Imperium,,Recognised classification,Planet or moon,"A world used as a dumping ground for mining spoil, industrial debris and other planetary-scale waste.",,https://wh40k.lexicanum.com/wiki/Class_(world)
62,tallow-world,Tallow World,,Imperial — specialised economy,Imperium,,Recognised classification,Planet or moon,"A world dedicated to rendering fats and producing candles, oils and related materials for Imperial use.",,https://wh40k.lexicanum.com/wiki/Class_(world)
63,war-world,War World,,Imperial — conflict status,Imperium / Contested,,Recognised classification,Planet or moon,"A world trapped in prolonged, large-scale or effectively permanent warfare.",,https://wh40k.lexicanum.com/wiki/War_World
64,warden-planet,Warden Planet,,Imperial — strategic,Imperium,,Recognised classification,Planet or moon,"A guarded world tasked with watching, containing or protecting a dangerous region, object or route.",,https://wh40k.lexicanum.com/wiki/Warden_Planet
65,waste-world,Waste World,,Imperial — environment/status,Imperium / General,,Recognised classification,Planet or moon,"A world ruined or dominated by pollution, barren wastes, refuse and ecological devastation.",,https://wh40k.lexicanum.com/wiki/Class_(world)
66,abandoned-world,Abandoned World,,General — status,Any,,Recognised classification,Planet or moon,A previously inhabited world whose population and active settlements have been deserted.,,https://wh40k.lexicanum.com/wiki/Abandoned_World
67,artificial-world,Artificial World,,General — artificial,Any,,Recognised classification,Planet or moon,A constructed planetary-scale body or habitat rather than a naturally formed world.,,https://wh40k.lexicanum.com/wiki/Class_(world)
68,asteroid,Asteroid,,General — celestial object,Any,,Recognised classification,Asteroid,"A minor rocky body that may be inhabited, fortified, mined or classified like a world.",,https://wh40k.lexicanum.com/wiki/Asteroid
69,cavern-world,Cavern World,,General — environment,Any,,Recognised classification,Planet or moon,A world whose major habitats or ecosystems exist in extensive underground caverns.,,https://wh40k.lexicanum.com/wiki/Cavern_World
70,chem-world,Chem World,,General — environment,Any,,Recognised classification,Planet or moon,"A world whose atmosphere, oceans or surface are dominated by hazardous industrial or natural chemicals.",,https://wh40k.lexicanum.com/wiki/Chem_World
71,crystal-world,Crystal World,,General — environment,Any,,Recognised classification,Planet or moon,"A world notable for vast crystalline formations, mineral structures or crystal-dominated geology.",,https://wh40k.lexicanum.com/wiki/Class_(world)
72,derelict-world,Derelict World,,General — status,Any,,Recognised classification,Planet or moon,"A world with abandoned infrastructure, ruins or installations that remain physically present but non-functional.",,https://wh40k.lexicanum.com/wiki/Derelict_World
73,desert-world,Desert World,,General — environment,Any,,Environmental descriptor,Planet or moon,A world dominated by arid deserts and extreme scarcity of surface water.,,https://wh40k.lexicanum.com/wiki/Class_(world)
74,forest-world,Forest World,,General — environment,Any,,Environmental descriptor,Planet or moon,A world covered predominantly by forests rather than dense tropical jungle.,,https://wh40k.lexicanum.com/wiki/Forest_World
75,gas-giant,Gas Giant,,General — celestial object,Any,,Astronomical descriptor,Planet or moon,"A massive gaseous planet that may host orbital settlements, floating habitats or valuable atmospheric resources.",,https://wh40k.lexicanum.com/wiki/Class_(world)
76,ghost-world,Ghost World,,General — status/exotic,Any,,Recognised classification,Planet or moon,"An apparently empty, dead or abandoned world whose true status or surviving inhabitants may be uncertain.",,https://wh40k.lexicanum.com/wiki/Class_(world)
77,husk-world,Husk World,,General — status/environment,Any,,Recognised classification,Planet or moon,"A stripped, scorched or hollowed planetary remnant with little remaining life or usable material.",,https://wh40k.lexicanum.com/wiki/Class_(world)
78,ice-world,Ice World,,General — environment,Any,,Environmental descriptor,Planet or moon,"A world dominated by glaciers, frozen oceans, snowfields or extreme cold.",,https://wh40k.lexicanum.com/wiki/Class_(world)
79,jungle-world,Jungle World,,General — environment,Any,,Environmental descriptor,Planet or moon,"A world covered predominantly by dense, planet-spanning jungle.",,https://wh40k.lexicanum.com/wiki/Class_(world)
80,lava-world,Lava World,,General — environment,Any,,Recognised classification,Planet or moon,"A geologically violent world with widespread lava seas, volcanic plains or exposed magma.",,https://wh40k.lexicanum.com/wiki/Lava_World
81,membrane-world,Membrane World,,General — Warp phenomenon,Any,,Recognised classification,Planet or moon,A world displaced through the Warp and deposited into a star system by an anomalous membrane-like translation event.,,https://wh40k.lexicanum.com/wiki/Class_(world)
82,molten-world,Molten World,,General — environment,Any,,Recognised classification,Planet or moon,"A world whose surface is largely molten because of extreme heat, tidal stress or geological catastrophe.",,https://wh40k.lexicanum.com/wiki/Molten_World
83,mountain-world,Mountain World,,General — environment,Any,,Recognised classification,Planet or moon,"A world dominated by extreme mountain ranges, high plateaus and rugged terrain.",,https://wh40k.lexicanum.com/wiki/Mountain_World
84,nomad-world,Nomad World,Night World; Rogue Planet,General — celestial status,Any,,Recognised classification,Planet or moon,A rogue planet travelling through interstellar space without orbiting a normal star.,,https://wh40k.lexicanum.com/wiki/Class_(world)
85,ocean-world,Ocean World,,General — environment,Any,,Environmental descriptor,Planet or moon,A world whose surface is almost entirely covered by oceans.,,https://wh40k.lexicanum.com/wiki/Class_(world)
86,planetoid,Planetoid,,General — celestial object,Any,,Recognised classification,Planetoid,A planetary or near-planetary body smaller or less conventionally formed than a standard planet.,,https://wh40k.lexicanum.com/wiki/Planetoid
87,rad-soaked-planet,Rad-soaked Planet,Rad World,General — environment,Any,,Recognised classification,Planet or moon,"A world saturated by dangerous radiation from war, stellar conditions, industry or natural deposits.",,https://wh40k.lexicanum.com/wiki/Rad-soaked_Planet
88,scrapworld,Scrapworld,Scrap World,General — waste/salvage,Any,,Recognised classification,Planet or moon,"A world covered in scrap, wreckage and discarded technology, often supporting scavenger societies.",,https://wh40k.lexicanum.com/wiki/Scrapworld
89,swamp-world,Swamp World,,General — environment,Any,,Recognised classification,Planet or moon,"A world dominated by wetlands, marshes, bogs and waterlogged terrain.",,https://wh40k.lexicanum.com/wiki/Swamp_World
90,unclassified-world,Unclassified World,,General — status,Any,,Recognised classification,Planet or moon,A world that lacks a reliable official classification or whose nature remains uncertain.,,https://wh40k.lexicanum.com/wiki/Unclassified_World
91,wreck-graveyard,Wreck Graveyard,,General — artificial/status,Any,,Recognised classification,"World, orbit or debris region","A planetary, orbital or deep-space region containing immense concentrations of derelict vessels and wreckage.",,https://wh40k.lexicanum.com/wiki/Wreck_Graveyard
92,cache-world,Cache World,,Chaos — specialised,Chaos / Fabius Bile,,Recognised classification,Planet or moon,"A hidden world used to store laboratories, experiments, clones, specimens or other secret assets.",,https://wh40k.lexicanum.com/wiki/Cache_World
93,daemon-world,Daemon World,,Chaos — Warp,Chaos,,Recognised classification,Planet or moon,A world consumed or reshaped by the Warp and ruled by daemonic or Chaos powers.,,https://wh40k.lexicanum.com/wiki/Class_(world)
94,fallen-knight-world,Fallen Knight World,,Chaos — Knight Houses,Chaos Knights,,Recognised classification,Planet or moon,A Knight World whose ruling houses have fallen to Chaos or become renegades.,,https://wh40k.lexicanum.com/wiki/Fallen_Knight_World
95,hell-forge,Hell Forge,,Chaos — industry,Dark Mechanicum / Chaos,,Recognised classification,Planet or moon,"A Chaos-controlled industrial world or stronghold manufacturing daemon engines, weapons and corrupted technology.",,https://wh40k.lexicanum.com/wiki/Hell_Forge
96,heretic-astartes-fief-world,Heretic Astartes Fief World,,Chaos — Astartes,Heretic Astartes,,Recognised classification,Planet or moon,A world held as territory or a vassal domain by a Chaos Space Marine warband or Legion.,,https://wh40k.lexicanum.com/wiki/Heretic_Astartes_Fief_World
97,heretic-astartes-recruiting-world,Heretic Astartes Recruiting World,,Chaos — Astartes,Heretic Astartes,,Recognised classification,Planet or moon,"A world exploited by Chaos Space Marines for recruits, slaves, cultists or potential aspirants.",,https://wh40k.lexicanum.com/wiki/Heretic_Astartes_Recruiting_World
98,craftworld,Craftworld,,Xenos — Aeldari,Aeldari,,Recognised classification,Artificial world-ship,"A vast, self-contained Aeldari world-ship carrying an entire civilisation through space.",,https://wh40k.lexicanum.com/wiki/Class_(world)
99,crone-world,Crone World,,Xenos — Aeldari/Chaos,Aeldari / Chaos,,Recognised classification,Planet or moon,"A former heartland world of the ancient Aeldari empire, now usually within the Eye of Terror and saturated by Chaos.",,https://wh40k.lexicanum.com/wiki/Class_(world)
100,exodite-world,Exodite World,,Xenos — Aeldari,Aeldari Exodites,,Recognised classification,Planet or moon,"A world settled by Aeldari Exodites who maintain austere, low-technology societies bound to the planet's world spirit.",,https://wh40k.lexicanum.com/wiki/Class_(world)
101,hold-world,Hold World,Kin Hold World,Xenos — Leagues of Votann,Leagues of Votann,,Recognised classification,Planet or moon,A major Kin-held world organised around a Votannic Hold and its associated civilisation.,,https://wh40k.lexicanum.com/wiki/Class_(world)
102,kin-world,Kin World,,Xenos — Leagues of Votann,Leagues of Votann,,Recognised classification,Planet or moon,"A world inhabited, claimed or controlled by the Kin of the Leagues of Votann.",,https://wh40k.lexicanum.com/wiki/Kin_World
103,larder-world,Larder World,,Xenos — Tyranid,Tyranids,,Recognised classification,Planet or moon,A Tyranid-controlled world where biomass is preserved or cultivated for later consumption.,,https://wh40k.lexicanum.com/wiki/Larder_World
104,maiden-world,Maiden World,,Xenos — Aeldari,Aeldari,,Recognised classification,Planet or moon,A paradise world terraformed by the ancient Aeldari as a future colony or refuge.,,https://wh40k.lexicanum.com/wiki/Class_(world)
105,necron-tomb-world,Necron Tomb World,Tomb World,Xenos — Necron,Necrons,,Recognised classification,Planet or moon,A world containing dormant or awakened Necron tomb complexes and dynastic infrastructure.,,https://wh40k.lexicanum.com/wiki/Class_(world)
106,ork-world,Ork World,,Xenos — Ork,Orks,,Recognised classification,Planet or moon,"A world dominated by Orks and reshaped by their settlements, industry, warfare and spores.",,https://wh40k.lexicanum.com/wiki/Class_(world)
107,squat-homeworld,Squat Homeworld,,Xenos/Imperial legacy — Squat,Squats / Kin,,Recognised classification,Planet or moon,A traditional stronghold or homeworld of the old Squat civilisation.,Older setting terminology; modern Leagues of Votann sources more commonly use Kin and Holds.,https://wh40k.lexicanum.com/wiki/Squat_Homeworld
108,tau-world,T'au World,Tau World,Xenos — T'au,T'au Empire,,Recognised classification,Planet or moon,A world incorporated into or controlled by the T'au Empire.,,https://wh40k.lexicanum.com/wiki/T'au_World
109,tau-sept,T'au Sept,Tau Sept,Xenos — T'au,T'au Empire,,Recognised classification,Planet or moon,"A principal T'au world and its surrounding territory, forming a major cultural and administrative sept.",,https://wh40k.lexicanum.com/wiki/Class_(world)
110,xenos-world,Xenos World,,Xenos — general,Xenos,,Recognised classification,Planet or moon,"A world dominated, inhabited or controlled by a non-human species.",,https://wh40k.lexicanum.com/wiki/Class_(world)
111,other-world,Other World,,General — catch-all,Any,,Index category,Planet or moon,A catch-all category for worlds that do not fit the established indexed classifications.,,https://wh40k.lexicanum.com/wiki/Category:Worlds_by_Class
112,moon,Moon,,General — celestial object,Any,,Recognised classification,Moon,A natural satellite that may receive the same functional and environmental classifications as a planet.,,https://wh40k.lexicanum.com/wiki/Moon
113,pleasure-world,Pleasure World,,Imperial — environment/luxury,Imperium,,Recognised classification,Planet or moon,"A leisure-focused world serving as a resort, retreat or playground for wealthy and powerful Imperial citizens.",Often treated as an alias or close relative of Paradise or Garden World.,https://wh40k.lexicanum.com/wiki/Pleasure_World
